,title,link,summary,published,tags,category,credit,source,lemmatized_texts,audio
432,"Mamut Aljaškoběžník. Žil před 17 tisíci lety, dvakrát by obešel Zemi, a když umíral, trpěl hladem",https://www.irozhlas.cz/veda-technologie/priroda/severni-amerika-mamuti-studie-vyzkumnici-science_2108221405_pat,"Vědcům se podařilo zmapovat, kde jeden konkrétní samec ze Severní Ameriky strávil před 17 tisíci lety celý svůj život. Výsledek je překvapil a studie se dostala na titulní stranu časopisu Science.",2021-08-22 12:05:00,[],Věda a technologie,,irozhlas.cz,"mamut Aljaškoběžník . žít před 17 tisíc rok , dvakrát být obejít země , a když umírat , trpět hlad vědec se podařit zmapovat , kde jeden konkrétní samec z severní Amerika strávit před 17 tisíc rok celý svůj život . výsledek on překvapit a studie se dostat na titulní strana časopis Science .",test
433,Naděje pro pacienty s Alzheimerem? V Praze vzniká jediná mozková banka ve střední Evropě,https://www.irozhlas.cz/veda-technologie/veda/alzheimer-praha-mozkova-banka-jedina-ve-stredni-evrope-thomayerova-nemocnice_2108221245_piv,Velký krok k výzkumu neurodegenerativních onemocnění udělala Fakultní Thomayerova nemocnice v Praze. V těchto dnech v ní totiž naplno začíná fungovat mozková banka. Je jediná ve střední Evropě a jsou v ní části mozkové tkáně pacientů zemřelých třeba na Alzheimerovu nebo Parkinsonovu nemoc. Podle vědců může zkoumání takových vzorků pomoci najít účinný lék na zatím nevyléčitelné choroby.,2021-08-22 10:45:00,[],Věda a technologie,,irozhlas.cz,naděje pro pacient s Alzheimer ? v Praha vznikat jediný mozkový banka v střední Evropa velký krok k výzkum neurodegenerativní onemocnění udělat fakultní Thomayerův nemocnice v Praha . v tento den v on totiž naplno začínat fungovat mozkový banka . být jediný v střední Evropa a být v on část mozkový tkáň pacient zemřelý třeba na Alzheimerův nebo Parkinsonův nemoc . podle vědec moci zkoumání takový vzorek pomoci najít účinný lék na zatím vyléčitelný choroba .,test
434,Alergie na hmyzí jed: pozor na pití z plechovek. Včely a vosy vlezou dovnitř a pak bodají,https://www.irozhlas.cz/veda-technologie/priroda/jed-alergie-hmyzi-bodnuti-otok-pomoc_2108221035_pat,"Svědivý otok, nebo taky náhlý pokles krevního tlaku, nevolnost a ztráta vědomí. Při alergii na hmyzí bodnutí dochází častěji než u jiných druhů alergií k anafylaktickému šoku - tedy k nejzávažnější formě alergické reakce, která může v krajním případě způsobit smrt. Mnohem častější jsou ale místní reakce s otokem. Nejčastějšími spouštěči alergií na hmyzí jed jsou včely medonosné a vosy rodu Vespula. Nejvíc žihadel dostávají samotní včelaři.",2021-08-22 08:35:00,[],Věda a technologie,,irozhlas.cz,"alergie na hmyzí jed : pozor na pití z plechovka . včela a vosa vlézt dovnitř a pak bodat svědivý otok , nebo taky náhlý pokles krevní tlak , nevolnost a ztráta vědomí . při alergie na hmyzí bodnutí docházet často než u jiný druh alergie k anafylaktický šok - tedy k závažný forma alergický reakce , který moci v krajní případ způsobit smrt . mnohem častý být ale místní reakce s otok . častý spouštěč alergie na hmyzí jed být včela medonosný a vosa rod Vespula . hodně žihadlo dostávat samotný včelař .",test
435,Nová studie: Černé díry by mohly pokročilé mimozemské civilizaci sloužit jako zdroj energie,https://www.irozhlas.cz/veda-technologie/veda/vyuziti-cerne-diry-jako-zdroje-energie-mimozemstany_2108220010_voj,"Astronomové by možná měli do hledáčku přidat i zabydlené černé díry. Nová studie vědců z Tchaj-wanu nasvědčuje, že velmi pokročilá mimozemská civilizace by je hypoteticky mohla využít jako zdroj energie. Dokonce by mohlo jít o lepší zdroj, než jsou hvězdy.",2021-08-21 22:10:00,[],Věda a technologie,,irozhlas.cz,"nový studie : černý díra být moci pokročilý mimozemský civilizace sloužit jako zdroj energie astronom být možná mít do hledáček přidat i zabydlený černý díra . nový studie vědec z Tchaj-wan nasvědčovat , že velmi pokročilý mimozemský civilizace být on hypoteticky moci využít jako zdroj energie . dokonce být moci jít o dobrý zdroj , než být hvězda .",test
436,"Za protesty proti sovětské okupaci si odseděl deset měsíců. Přišili mu i zpěv Běž domů, Ivane",https://www.irozhlas.cz/veda-technologie/historie/okupace-srpen-protesty-kriminal-vezeni-pribehy-ceskoslovensko_2108212049_tzr,"Letos si připomínáme třicáté výročí konce sovětské okupace Československa a 53 let od jejího počátku. Příběh Miroslava Jeníka tak dobře ukazuje pohromu, která v letech 1968 až 1970 postihla společnost a v podstatě pak trvala až do listopadu 1989.",2021-08-21 18:49:00,[],Věda a technologie,,irozhlas.cz,"za protest proti sovětský okupace se odsedět deset měsíc . přišít on i zpěv běžet domů , Ivan letos se připomínat třicátý výročí konec sovětský okupace Československo a 53 rok od jeho počátek . příběh Miroslav Jeník tak dobře ukazovat pohroma , který v rok 1968 až 1970 postihnout společnost a v podstata pak trvat až do listopad 1989 .",test
437,",Musíte ho vidět? Použijte dalekohled.' Irská vláda chce, aby veřejnost nechala mrože Wallyho na pokoji",https://www.irozhlas.cz/veda-technologie/priroda/mroz-wally-irsko-cork-socialni-site_2108211418_pat,"Představitelé irské vlády a environmentální organizace upozorňují lidi na to, že by se neměli přibližovat k mrožovi, kterému se přezdívá Wally. Zvíře se v poslední době stalo velmi populárním na sociálních sítích. Wally, který na své cestě domů poničil několik plavidel a nyní se usadil na pobřeží irského Corku, čelí náporu stresu v souvislosti s kolemjdoucími, kteří se k němu přibližují na nepřiměřenou vzdálenost, informovalo Politico.",2021-08-21 12:18:00,[],Věda a technologie,,irozhlas.cz,", muset on vidět ? použít dalekohled . ' irský vláda chtít , aby veřejnost nechat mrož Wally na pokoj představitel irský vláda a environmentální organizace upozorňovat člověk na ten , že být se mít přibližovat k mrož , který se přezdívat Wally . zvíře se v poslední doba stát velmi populární na sociální síť . Wally , který na svůj cesta domů poničit několik plavidlo a nyní se usadit na pobřeží irský Cork , čelit nápor stres v souvislost s kolemjdoucí , který se k on přibližovat na přiměřený vzdálenost , informovat Politico .",test
438,"Historik o okupaci: Taxikáři troubili, aby oznámili, že se něco děje. 99,9 % lidí intervenci odmítalo",https://www.irozhlas.cz/veda-technologie/historie/sovetska-okupace-21-srpen-1968-invaze-vojsk-varsavske-smlouvy-ceskoslovensko_2108211136_piv,"Krátce po půlnoci 21. srpna 1968 odvysílal rozhlas zprávu, které se zpočátku dalo jen těžko uvěřit. Okupační vojska Varšavské smlouvy pod vedením Sovětského svazu zahájila invazi do Československa. Násilně tak ukončila uvolňování a euforii Pražského jara toho roku. Okupanti zůstali v zemi více než 20 let. Hostem Ranního interview Radiožurnálu byl historik z Ústavu pro soudobé dějiny Oldřich Tůma.",2021-08-21 09:36:00,[],Věda a technologie,,irozhlas.cz,"historik o okupace : taxikář troubit , aby oznámit , že se něco dít . 99,9 % člověk intervence odmítat krátce po půlnoc 21 . srpen 1968 odvysílat rozhlas zpráva , který se zpočátku dát jen těžko uvěřit . okupační vojsko varšavský smlouva pod vedení sovětský svaz zahájit invaze do Československo . násilně tak ukončit uvolňování a euforie pražský jaro ten rok . okupant zůstat v země hodně než 20 rok . host ranní interview Radiožurnál být historik z ústav pro soudobý dějiny Oldřich Tůma .",test
439,"Kosmonauti na čínské stanici Tchien-che zvládli druhý výstup, nainstalovali opěry i čerpací soupravu",https://www.irozhlas.cz/veda-technologie/vesmir/cina-stanice-tchien-che-kosmonauti-vystup-vesmir_2108211043_tzr,Čínští kosmonauti provedli v pátek již druhý úspěšný výstup z vesmírné stanice Tchien-che. Během čtyři hodiny trvající pracovní směny nainstalovali řadu zařízení na vnější straně základního modulu budovaného orbitálního komplexu. Podle serveru Space.com o tom informovala čínská vesmírná agentura CMSA.,2021-08-21 08:43:00,[],Věda a technologie,,irozhlas.cz,"kosmonaut na čínský stanice Tchien - che zvládnout druhý výstup , nainstalovat opěra i čerpací souprava čínský kosmonaut provést v pátek již druhý úspěšný výstup z vesmírný stanice Tchien - che . během čtyři hodina trvající pracovní směna nainstalovat řada zařízení na vnější strana základní modul budovaný orbitální komplex . podle server Space.com o ten informovat čínský vesmírný agentura CMSA .",test
442,Financial Times: Třídní konflikt je už zase středobodem ekonomie,https://denikn.cz/690806/financial-times-tridni-konflikt-je-uz-zase-stredobodem-ekonomie/,"Větší moc zaměstnanců může také zvýšit zisky, píše komentátor Financial Times Martin Sanbu.",2021-08-25 07:38:58,"['Česko', 'Hlavní', 'Kontext N', 'Názor']",Česko,,denikn.cz,"Financial Times : třídní konflikt být už zase středobod ekonomie velký moc zaměstnanec moci také zvýšit zisk , psát komentátor Financial Times Martin sanbu .",test
446,„Nedokážu si představit Bartoše jako premiéra.“ Třetina voličů STAN má problém s Piráty,https://denikn.cz/690106/nedokazu-si-predstavit-bartose-jako-premiera-tretina-volicu-stan-ma-problem-s-piraty/,"Část voličů Starostů je podle dat agentury Kantar CZ nespokojena s koalicí s Piráty. Mezi podporovateli obou stran jsou také nezanedbatelné rozdíly v možném preferenčním hlasování. Voliči STAN by nyní více kroužkovali kandidáty svého hnutí, naopak pirátští voliči by preferovali osobnosti z celého seznamu.",2021-08-24 15:04:34,"['Audio', 'Česko', 'Hlavní', 'Průzkum veřejného mínění', 'Sněmovní volby 2021']",Česko,,denikn.cz,"„ dokázat se představit Bartoš jako premiér . “ třetina volič stan mít problém s pirát část volič starosta být podle datum agentura Kantara CZ spokojit s koalice s pirát . mezi podporovatel oba strana být také zanedbatelný rozdíl v možný preferenční hlasování . volič Stan být nyní hodně kroužkovat kandidát svůj hnutí , naopak pirátský volič být preferovat osobnost z celý seznam .",test
448,"Studio N: Slušní lidé nejsou extremisté, jejich šéf mi na kandidátce nevadí, říká Vondráček za Trikolóru, Svobodné a Soukromníky",https://denikn.cz/690552/studio-n-slusni-lide-nejsou-extremiste-jejich-sef-mi-na-kandidatce-nevadi-rika-vondracek-za-trikoloru-svobodne-a-soukromniky/,"Strana Trikolóra Svobodní Soukromníci, do níž se spojily tyto tři subjekty, chce prosadit nadřazenost českého práva nad evropským, nepřijímat směrnice EU a ignorovat verdikty evropského soudního dvora. V předvolebním podcastu Studia N to prohlásil předseda Svobodných Libor Vondráček. Ve Sněmovně chce hájit absolutní svobodu slova, i když má na kandidátkách lidi, kteří například v roce 2018 aktivně vystupovali proti uvedení kontroverzní divadelní hry v Brně.",2021-08-24 14:06:57,"['Česko', 'Podcast Studio N', 'Předvolební speciál Studia N', 'Sněmovní volby 2021', 'Studio N']",Česko,,denikn.cz,"studio N : slušný člověk být extremista , jeho šéf já na kandidátka vadit , říkat Vondráček za trikolóra , svobodný a soukromník strana trikolóra svobodný soukromník , do jenž se spojit tento tři subjekt , chtít prosadit nadřazenost český právo nad evropský , přijímat směrnice EU a ignorovat verdikt evropský soudní dvůr . v předvolební podcast studio n ten prohlásit předseda svobodný Libor Vondráček . v sněmovna chtít hájit absolutní svoboda slovo , i když mít na kandidátka člověk , který například v rok 2018 aktivně vystupovat proti uvedení kontroverzní divadelní hra v Brno .",test
