title,link,summary,published,tags,category,credit,source
"Dánský záložník Eriksen při zápase na Euru zkolaboval. Lékaři ho oživovali na hřišti, už komunikuje",https://www.lidovky.cz/sport/fotbal/dansky-zaloznik-eriksen-pri-zapase-na-euru-zkolaboval-lekari-ho-na-hristi-ozivuji.A210612_185217_ln-sport-fotbal_vag#utm_source=rss&utm_medium=feed&utm_campaign=ln_sport&utm_content=main,Dánský fotbalista Christian Eriksen zkolaboval v utkání skupiny B mistrovství Evropy s Finskem a po resuscitaci provedené přímo na hřišti byl podle prohlášení UEFA ve stabilizovaném stavu převezen do nemocnice. Hráč je při vědomí a komunikuje. Na krizové schůzce obou týmů se na základě jejich požadavku rozhodlo o pokračování duelu a Dánové jej prohráli 0:1. Druhý zápas skupiny B v Petrohradu mezi Belgií a Ruskem začal podle plánu a skončil výhrou favorizovaných hostů 3:0.,"time.struct_time(tm_year=2021, tm_mon=6, tm_mday=13, tm_hour=9, tm_min=40, tm_sec=0, tm_wday=6, tm_yday=164, tm_isdst=0)",['Sport - Fotbal'],Sport,ČTK,lidovky.cz
"Drsná rivalita nebo až dokonce nevraživost? Češi čekají, co na ně Skotové připravili",https://www.lidovky.cz/sport/fotbal/drsna-rivalita-nebo-az-dokonce-nevrazivost-cesi-cekaji-co-na-ne-skotove-pripravili.A210611_200237_ln-sport-fotbal_atv#utm_source=rss&utm_medium=feed&utm_campaign=ln_sport&utm_content=main,"Zrodila se fotbalová rivalita. Skotsko versus Česko. „Ošklivý incident se vrací,“ připomínají titulky skotských médií březnové osmifinále Evropské ligy mezi Rangers a Slavií. „Nemyslím si, je to mezi kluby, na reprezentační úroveň se to nepřelije,“ tvrdí legendární gólman Petr Čech.","time.struct_time(tm_year=2021, tm_mon=6, tm_mday=13, tm_hour=3, tm_min=0, tm_sec=0, tm_wday=6, tm_yday=164, tm_isdst=0)",['Sport - Fotbal'],Sport,ČTK,lidovky.cz
Dánové v duelu ME přerušeném po kolapsu Eriksena podlehli Finům 0:1,https://www.lidovky.cz/sport/fotbal/danove-v-duelu-mistrovstvi-evropy-prerusenem-po-kolapsu-eriksena-podlehli-finum.A210612_214536_ln-sport-fotbal_lihem#utm_source=rss&utm_medium=feed&utm_campaign=ln_sport&utm_content=main,"Fotbalisté Dánska v úvodním duelu skupiny B mistrovství Evropy, který byl přerušen kvůli kolapsu jejich záložníka Christiana Eriksena, podlehli Finsku 0:1. O nečekané výhře outsidera při jeho premiérové účasti na velkém mezinárodním turnaji rozhodl po hodině hry jedinou střelou v zápase Joel Pohjanpalo. V 74. minutě neproměnil penaltu Dán Pierre Emile Höjbjerg. Finové zdolali Dány na jejich hřišti po 21 zápasech poprvé od roku 1949.","time.struct_time(tm_year=2021, tm_mon=6, tm_mday=12, tm_hour=19, tm_min=45, tm_sec=0, tm_wday=5, tm_yday=163, tm_isdst=0)",['Sport - Fotbal'],Sport,Reuters,lidovky.cz
Krejčíková za titul děkovala do nebe legendě Janě Novotné. Spolu trénovaly a pak trávily nejtěžší chvíle,https://www.lidovky.cz/sport/ostatni-sporty/krejcikova-novotnou-tenisove-nenapodobuje-ale-chce-byt-stejne-pokorna.A210612_212904_ln-sport-ostatni_lihem#utm_source=rss&utm_medium=feed&utm_campaign=ln_sport&utm_content=main,"Tenistka Barbora Krejčíková opakovaně děkovala za svůj titul ve dvouhře na Roland Garros do nebe Janě Novotné. Někdejší vítězku Wimbledonu kdysi oslovila, jestli by ji netrénovala, a jejich vztah přerostl v přátelství, které Krejčíkovou výrazně ovlivnilo.","time.struct_time(tm_year=2021, tm_mon=6, tm_mday=12, tm_hour=19, tm_min=29, tm_sec=0, tm_wday=5, tm_yday=163, tm_isdst=0)",['Sport - Ostatní sporty'],Sport,Reuters,lidovky.cz
"Chci zůstat sama sebou a plnit si další sny, říká po vítězství na Roland Garros Krejčíková",https://www.lidovky.cz/sport/ostatni-sporty/chci-zustat-sama-sebou-a-plnit-si-dalsi-sny-rika-po-uspechu-na-roland-garros-kr.A210612_205352_ln-sport-ostatni_lihem#utm_source=rss&utm_medium=feed&utm_campaign=ln_sport&utm_content=main,Skoro jako v jejích oblíbených pohádkách Tři oříšky pro popelku a Princezna se zlatou hvězdou na čele si plní Barbora Krejčíková tenisové sny. Ten největší proměnila v realitu ziskem titulu ve dvouhře na antukovém grandslamu Roland Garros.,"time.struct_time(tm_year=2021, tm_mon=6, tm_mday=12, tm_hour=18, tm_min=53, tm_sec=0, tm_wday=5, tm_yday=163, tm_isdst=0)",['Sport - Ostatní sporty'],Sport,Reuters,lidovky.cz
‚Největší hrdinka. Píšeš historii!‘ Krejčíkové gratulovaly k titulu v Paříži Kvitová či Halepová,https://www.lidovky.cz/sport/ostatni-sporty/krejcikove-gratulovaly-k-senzacnimu-titulu-kvitova-strycova-ci-halepova.A210612_182302_ln-sport-ostatni_lihem#utm_source=rss&utm_medium=feed&utm_campaign=ln_sport&utm_content=main,"K triumfu na Roland Garros pogratulovaly tenistce Barboře Krejčíkové krajanky i současné a bývalé hvězdy. Zatímco brněnská rodačka přebírala v Paříži vítěznou trofej, prostřednictvím sociálních sítí jí blahopřály třeba Petra Kvitová, Barbora Strýcová či Rumunka Simona Halepová.","time.struct_time(tm_year=2021, tm_mon=6, tm_mday=12, tm_hour=16, tm_min=23, tm_sec=0, tm_wday=5, tm_yday=163, tm_isdst=0)",['Sport - Ostatní sporty'],Sport,Reuters,lidovky.cz
VIDEO: Životní úspěch české tenistky. Krejčíková ovládla pařížské finále a senzačně získala grandslam,https://www.lidovky.cz/sport/ostatni-sporty/zivotni-uspech-ceske-tenistky-krejcikova-ovladla-parizske-finale-a-senzacne-ziskala-grandslam.A210612_170215_ln-sport-ostatni_vag#utm_source=rss&utm_medium=feed&utm_campaign=ln_sport&utm_content=main,"Barbora Krejčíková vyhrála antukové Roland Garros a získala první grandslamový titul ve dvouhře. Pětadvacetiletá Češka ve finále v Paříži v sobotu porazila Rusku Anastasii Pavljučenkovovou 6:1, 2:6, 6:4 a navázala na triumf Hany Mandlíkové z roku 1981.","time.struct_time(tm_year=2021, tm_mon=6, tm_mday=12, tm_hour=16, tm_min=13, tm_sec=0, tm_wday=5, tm_yday=163, tm_isdst=0)",['Sport - Ostatní sporty'],Sport,Roland-Garros/Twitter,lidovky.cz
"Deset hvězd evropského šampionátu. Nabízíme výběr fotbalistů, kteří mohou dotáhnout svoji zemi ke slávě",https://www.lidovky.cz/sport/fotbal/deset-hvezd-mistrovstvi-evropy-ktery-z-hracu-dotahne-svou-zemi-ke-slave.A210610_214858_ln-sport-fotbal_rkj#utm_source=rss&utm_medium=feed&utm_campaign=ln_sport&utm_content=main,"Jsou o rok starší, ale o to více hladoví po zisku titulu mistrů Evropy. Řeč je o desítce fantastických fotbalistů, kteří se dostali do výběru serveru Lidovky.cz. Samozřejmě se turnaje zúčastní daleko více hráčů, ale kamery budou upřeny zejména na následující hvězdy.","time.struct_time(tm_year=2021, tm_mon=6, tm_mday=12, tm_hour=3, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=163, tm_isdst=0)",['Sport - Fotbal'],Sport,Reuters,lidovky.cz
"legalTV.cz: Co dělat, aby vaše pohledávky nebyly jen na papíře",https://www.lidovky.cz/byznys/pravo-a-justice/legaltv-cz-co-delat-aby-vase-pohledavky-nebyly-jen-na-papire.A210613_192452_ln_byznys_pravo_ssu#utm_source=rss&utm_medium=feed&utm_campaign=ln_byznys&utm_content=main,"Sebelépe napsaná smlouva ještě neznamená, že druhá strana všechno dobrovolně splní. Slovo věřitel je odvozeno od slova “věřit”. Můžete být věřící, tedy prostě jen věřit, že vám dlužník zaplatí. Nebo se o to můžete postarat. Jak?","time.struct_time(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=5, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=167, tm_isdst=0)",['Byznys - Právo a justice'],Byznys zprávy,legaltv.cz,lidovky.cz
"Stavba metra D se nejspíš zpozdí. Jsme blíže pesimistické variantě, přiznal šéf dopravního podniku",https://www.lidovky.cz/byznys/doprava/dobre-zpravy-pro-podzemni-drahu-v-praze-jsme-blize-pesimisticke-variante-priznal-sef-dopravniho-podn.A210615_090724_ln-doprava_pave#utm_source=rss&utm_medium=feed&utm_campaign=ln_byznys&utm_content=main,Až o rok déle můžou Pražané čekat na dokončení prvních pěti stanic nové linky metra. Budoucnost trasy s označením D má nyní v rukou ministerstvo dopravy. Jeho další rozhodnutí může otevření úseku mezi Pankrácí a Novými Dvory odložit až na rok 2030.,"time.struct_time(tm_year=2021, tm_mon=6, tm_mday=15, tm_hour=7, tm_min=40, tm_sec=0, tm_wday=1, tm_yday=166, tm_isdst=0)",['Byznys - Doprava'],Byznys zprávy,METROPROJEKT PRAHA,lidovky.cz
"Schillerová dá krajům čtyři miliardy na opravy silnic, další dvě putují z evropských peněz",https://www.lidovky.cz/byznys/statni-pokladna/schillerova-da-krajum-ctyri-miliardy-na-opravy-silnic-dalsi-dve-putuji-z-evropskych-penez.A210614_173230_statni-pokladna_ele#utm_source=rss&utm_medium=feed&utm_campaign=ln_byznys&utm_content=main,"Ministerstvo financí uvolnilo z letošního rozpočtu krajům čtyři miliardy korun na opravy silnic 2. a 3. tříd. Další dvě miliardy kraje dostanou z evropských peněz. Na tiskové konferenci po dnešním jednání vlády to řekla ministryně financí Alena Schillerová (za ANO). Šest miliard korun kraje na silnice dostaly i loni, dodala Schillerová.","time.struct_time(tm_year=2021, tm_mon=6, tm_mday=14, tm_hour=15, tm_min=59, tm_sec=0, tm_wday=0, tm_yday=165, tm_isdst=0)",['Byznys - Státní pokladna'],Byznys zprávy,Twitter Ředitelství silnic a dálnic,lidovky.cz
Jak na nástrahy digitálního světa? Odpovědi přinesla on-line debata o kybernetické bezpečnosti,https://www.lidovky.cz/byznys/eventy/jak-na-nastrahy-digitalniho-sveta-sledujte-on-line-debatu-o-kyberneticke-bezpecnosti.A210610_163559_ln_byznys_eventy_pev#utm_source=rss&utm_medium=feed&utm_campaign=ln_byznys&utm_content=main,"Jaká jsou aktuální rizika v digitálním světě. Jak se budou dál vyvíjet? A dá se proti nim pojistit? To a mnohem více se řešilo v on-line debatě Kybernetická bezpečnost, kterou přenášel živě server Lidovky.cz.","time.struct_time(tm_year=2021, tm_mon=6, tm_mday=10, tm_hour=16, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=161, tm_isdst=0)",['Byznys - Eventy'],Byznys zprávy,MAFRA,lidovky.cz
Škoda kvůli nedostatku čipů ruší další směny. Podle odborů jde o nejtěžší chvíle od spojení s Volkswagenem,https://www.lidovky.cz/byznys/auto/skodovce-chybi-cipy-do-palubni-elektroniky-a-rusi-dalsi-smeny-propousteni-pracovniku-se-nechysta.A210610_093350_ln-auto_ele#utm_source=rss&utm_medium=feed&utm_campaign=ln_byznys&utm_content=main,"Mladoboleslavská automobilka Škoda Auto ruší kvůli nedostatku dílů další směny. Dodávky komponentů aut se podle odborů ještě zhoršily, podle nich jde o nejtěžší chvíle od spojení Škody s koncernem Volkswagen. Uvedl to ve čtvrtek týdeník Škodovácký odborář. Od začátku roku již musela Škoda kvůli nedostatku čipů zrušit řadu směn, především těch přesčasových.","time.struct_time(tm_year=2021, tm_mon=6, tm_mday=10, tm_hour=13, tm_min=42, tm_sec=0, tm_wday=3, tm_yday=161, tm_isdst=0)",['Byznys - Auto'],Byznys zprávy,MAFRA,lidovky.cz
